index,name,place_id,lat,lng,city,state,grade,usa,iac,hm,tsa,nfo,vehicles,phone,fax,account,email,phone2,notes,contact
205,Shotgun Delivery,,0,0,San Francisco,CA,3,0,0,0,0,0,n,(800) 833-5656,(888) 959-9985,,greg@shotgun.com,,not good for late,Greg 
206,Streamline Express,,0,0,San Francisco,CA,2,0,1,0,0,0,n,(415) 285-8088,(650) 589-8830,,operations@streamline-express.co      ,c: 415-424-0776,$$$,Terrance
207,World courier Ground,,0,0,San Francisco,CA,3,0,0,0,0,1,n,(650) 777-9910,(650) 777-9928,#23293,,Rob (sales): 510-385-4635,,Rob Guiraldi
208,AM Tran,,0,0,San Jose,CA,4,0,0,0,0,0,n,877.243.8733,,#1033,,,,
209,Green Eagle Transportation,,0,0,San Jose,CA,3,0,0,0,0,0,n,(408) 910-5557,,,m_onye@yahoo.com,,,Michael 
210,Streamline Express,,0,0,San Jose,CA,3,0,0,0,0,0,n,(415) 285-8088,,,,,,
211,Capo Courier,,0,0,San Juan Capistrano,CA,3,0,0,0,0,0,n,(949) 370-5024,(949) 661-8124,,,,,Robert
212,North Coast Courier,,0,0,San Leandro,CA,3,0,0,0,0,0,n,(510) 351-3717,(510) 351-5704,#3832,,,,
213,Perry's Parcel & Courier,,0,0,San Luis Obispo,CA,4,0,0,0,0,0,n,(805) 434-1027,(888) 415-7929,,dispatch1027@gmail.com,,,
214,Sherri Saurets Errand Service,,0,0,San Luis Obispo,CA,2,0,0,0,0,0,n,(805) 610-7071,,,,,$$$,
215,Budget Courier,,0,0,San Marcos,CA,3,0,0,0,0,0,n,(760) 591-9902,(760) 591-9569,,,,,Rebecca
216,On Call Transportation & Courier,,0,0,San Rafael,CA,3,0,0,0,0,0,"t,v",(415) 460-1760,-,,transportoncall@yahoo.com,,6am-9pm,Patricia
217,Pioneer Express,,0,0,San Ramon,CA,3,0,0,0,0,0,n,(888) 263-8846,(650) 952-1145,,,,,Jose
218,Advanced Courier,,0,0,Santa Ana,CA,3,0,0,0,0,0,n,(800) 888-9147,,,,,won't invoice,
219,Dedicated Xpress,,0,0,Santa Ana,CA,3,0,0,0,0,0,t,(714) 773-4262,(714) 460-6520,,,,,
220,Orange Courier,,0,0,Santa Ana,CA,3,0,0,0,0,0,n,(949) 975-1313,(949) 975-0505,,,714-384-3552,spepak,Brandon
221,Central Courier,,0,0,Santa Barbara,CA,3,0,0,0,0,0,n,(805) 654-1145,(805) 654-1274,,,,check rates,
222,Go Getters,,0,0,Santa Barbara,CA,3,0,0,0,0,0,n,(805) 259-7903,,,LUIS@SBGOGETTERS.COM,,,
223,Alpine Courier,,0,0,Santa Clara,CA,3,0,0,0,0,0,n,(408) 588-9990,(408) 588-9999,,,,,
224,Faultline Express,,0,0,Santa Clara,CA,3,0,0,0,0,0,n,(408) 980-9400,,,,,,
225,GGTS,,0,0,Santa Clara,CA,3,0,0,0,0,0,n,(408) 850-6233,,,,,,
226,Enterprise Courier,,0,0,Santa Clarita,CA,3,0,0,0,0,0,n,(800) 638-3345,(661) 296-3385,,,c: 661510-5298,,Louis Green
227,Liberty Express,,0,0,Santa Clarita,CA,4,0,0,0,0,0,n,(661) 816-1449,(661) 729-2618,,,,,
228,Clutch Courier,,0,0,Santa Cruz,CA,3,0,0,0,0,0,n,(831) 466-0560,,,,,,
229,All Counties Delivery,,0,0,Santa Maria,CA,3,0,0,0,0,0,n,(805) 929-4994,,,,,,
230,ASAP,,0,0,Santa Rosa,CA,3,0,0,0,0,0,n,(707) 224-2579,,,,,,
231,Ed Ex Courier,,0,0,Santa Rosa,CA,3,0,0,0,0,0,n,(415) 879-1051,(888) 355-2648,,edwardugarte@msn.com,,,Edward
232,Georges Taxi,,0,0,Santa Rosa,CA,3,0,0,0,0,0,n,(707) 546-3322,,,,,cc ok,
233,Rapid Express,,0,0,Santa Rosa,CA,3,0,0,0,0,0,n,(707) 585-9998,(707) 540-6082,,,,,
234,On-time Courier Service,,0,0,Stockton,CA,3,0,0,0,0,0,n,(209) 931-2001,(209) 304-2292,,,,"no genoptix, Rush = 2.25 mile",Bob
235,Dynamics,,0,0,Thousand Oaks,CA,3,0,0,0,0,0,n,(800) 439-8900,,,,,,
236,A-1 Taxi,,0,0,Turlock,CA,3,0,0,0,0,0,n,(209) 858-8100,,,,,,
237,Adobe Shipping,,0,0,Twenty-nine Palms,CA,3,0,0,0,0,0,n,(760) 367-1414,(760) 367-1740,,,,,Pam & Tim
238,Delery's & Family Delivery,,0,0,Ukiah,CA,3,0,0,0,0,0,n,(707) 468-9434,,,,,,
239,Hey Taxi,,0,0,Ukiah,CA,3,0,0,0,0,0,n,(707) 467-1200,(707) 462-6137,,deleryandfamily@att.net,,,James
240,AAA Courier,,0,0,Vacaville,CA,3,0,0,0,0,0,n,(707) 446-6967,,,,,,
241,Central Courier,,0,0,Ventura,CA,5,0,0,0,0,0,n,(800) 427-9949,(805) 654-1274,,ccifast@pacbell.net,,$30 min.,Jerry
242,Edward Van Sloten,,0,0,Victorville,CA,4,5969,0,0,0,0,n,(760) 952-2789,,,,,,
243,Manny Express,,0,0,Victorville,CA,3,0,0,0,0,0,"c,t",(760) 373-0395,,,,,,
244,MaxiCab,,0,0,Victorville,CA,3,0,0,0,0,0,n,(760) 559-5288,,,,,,
245,Peninsula Messenger service,,0,0,Visalia,CA,3,0,0,0,0,0,n,(559) 734-6328,(559) 734-3983,,,,,Aaron
246,GO-GETTERS,,0,0,W Sacramento,CA,3,0,0,0,0,0,n,(916) 372-4646,(916) 372-8412,,,,,Donna
247,Rancho Runners,,0,0,Wildomar,CA,5,0,0,0,0,0,n,(951) 676-9564,(951) 245-9710,,,,,
248,James Winsor,,0,0,Arvada,CO,3,0,0,0,0,0,n,(303) 668-3818,(866) 279-7499,,,,one man show,James
249,American Expediting,,36.0888155,-115.2116752,Aurora,CO,5,0,1,0,0,0,n,(303) 537-7039,(303) 371-0919,#23370,,,,
250,Rap Express,,0,0,Colorado Springs,CO,3,0,0,0,0,0,n,(719) 597-9667,(719) 597-6234,,,719-491-6189,,
251,Your Courier Service,,0,0,Colorado Springs,CO,3,0,0,0,0,0,n,(719) 375-3591,(719) 434-7942,,office@ycs570.com,c: 719-964-7162,,
252,"Front Range Couriers, LTD",,0,0,Denver,CO,3,0,0,0,0,0,n,(303) 371-3003,(303) 371-3366,,,,,Richard
253,Jumpp Logistics,,0,0,Denver,CO,3,0,0,0,0,0,n,(720) 356-0100,,,bonniek@blastexpress.com,720-833-0227,formerly Blast,Larry
254,Med Stat Courier,,0,0,Denver,CO,5,0,0,0,0,0,n,(720) 221-8240,(720) 221-8503,,,,good rates for far,
255,Quicksilver,,0,0,Denver,CO,4,0,0,0,0,0,n,(303) 232-5800,(303) 232-1950,#9998,,,$$$ for long,Mike Applegate
256,Rocky Mountain Mail Delivery Services,,0,0,Denver,CO,3,0,0,0,0,0,n,(303) 940-4998,(720) 434-8386,,milehicourier@msn.com,,FAX # is an actual contact #,John
257,SDI Corp,,0,0,Denver,CO,3,0,0,0,0,0,n,(303) 220-1700,,,,,,
258,Tech center Courier,,0,0,Denver,CO,3,0,0,0,0,0,n,(303) 770-9616,(303) 693-3900,,,"Patty: 303-907-7595,303-815-0646,Larry: 303-241-9875",,
259,Durango Taxi,,0,0,Durango,CO,3,0,0,0,0,0,n,(970) 259-4818,,,,,,
260,The Feet-Velocity Boys,,0,0,Fort Collins,CO,5,0,0,0,0,0,n,(970) 493-8110,(970) 493-8121,,,970-493-8110,FLAT RATES-THEFEET.COM,Dennis
261,OSM,,0,0,Glenwood Spring,CO,3,0,0,0,0,0,n,(970) 945-8552,,,,,,
262,Dove Courier,,0,0,Grand Junction,CO,3,0,0,0,0,0,n,(970) 256-1850,(970) 523-5679,,,,$20 min,Linda
263,Kangaroo Express,,0,0,Grand Junction,CO,3,0,0,0,0,0,n,(970) 245-3522,(970) 243-9624,#2831,,,mail check,Mary
264,Western Slope Courier,,39.0651288,-108.5501266,Grand Junction,CO,2,0,0,0,0,0,n,(970) 260-5168,,,,,$$$,
265,The Delivery CO,,0,0,Gunnison,CO,3,0,0,0,0,0,n,(970) 209-4194,,,patmckee@q.com,,,
266,Med Stat Courier,,0,0,Loveland,CO,5,0,0,0,0,0,n,(720) 221-8240,(720) 221-8503,,,,,Rick
267,Busy Bee Delivery,,0,0,Parachute,CO,3,0,0,0,0,0,n,(970) 456-8392,,,buzz@busybeedelivery.com,,,Adel
268,City Cab,,0,0,Pueblo,CO,3,0,0,0,0,0,n,(719) 543-2525,(719) 542-6155,,,,,
269,Kangaroo Express of Southern CO,,0,0,Pueblo,CO,3,0,0,0,0,0,n,(719) 543-6900,,,,,,
270,On the Dot,,0,0,Pueblo,CO,3,0,0,0,0,0,n,(719) 821-7940,(719) 547-8470,,,,,
271,Mountain Town Delivery,,40.5088054,-106.8592016,Steamboat Springs,CO,3,0,0,0,0,0,n,(970) 871-1755,,,,c: 970-846-8481,,
272,Tom Heron Enterprises,,0,0,Steamboat Springs,CO,3,0,0,0,0,0,n,(970) 819-5370,,,tom.heron@comcast.net,,,
273,3-D Delivery Systems,,0,0,Hartford,CT,3,0,0,0,0,0,n,(860) 463-8613,,,gkuzoian@comcast.net,h: 860-561-4474,,
274,a Premier Courier,,0,0,Hartford,CT,5,0,0,0,0,0,n,(860) 925-6292,(860) 925-6298,,DISPATCH@PREMIEREXPRESS.NET,,,
275,American Expediting,,0,0,Hartford,CT,3,0,1,0,0,0,n,(860) 386-6560,(860) 370-9466,,,,,
276,Cardinal Express,,0,0,Hartford,CT,3,0,0,0,0,0,n,(860) 529-2587,(860) 529-2972,,cjones@cardinalexpress.com,,,Chris
277,Pro Courier,,0,0,Hartford,CT,3,0,0,0,0,0,t,(860) 953-7777,,,,,,
278,RAA Delivery,,0,0,Hartford,CT,3,0,0,0,0,0,n,(860) 583-1090,,,,,,
279,Steven Dickenson Air Charter,,0,0,Hartford,CT,3,0,0,0,0,0,n,(203) 269-5089,,,,,600 lbs limit,Steven
280,a Premier Courier,,0,0,New Haven,CT,3,0,0,0,0,0,n,(813) 249-6000,,,,,,
281,Gardella Connection,,0,0,Norwalk,CT,5,0,0,0,0,0,n,(203) 853-4222,(203) 838-4522,#47001,COURIER@GARDELLAS.COM,,1.80 mile,HERM
282,Norwich Express,,0,0,Norwich,CT,3,0,0,0,0,0,n,(860) 889-4734,,,,,,
283,Greenfield Express,,0,0,Plainville,CT,3,0,0,0,0,0,n,(860) 747-3855,(860) 747-4904,,,,,Miles
284,Rubin Reyes,,0,0,Stratford,CT,4,6104,0,0,0,0,n,(203) 619-4969,,,,,long,
285,Chesapeake Logistics,,0,0,Beltsville,DC,3,0,0,0,0,0,n,(301) 931-1771,(301) 937-6810,#1235,,,,
286,Falcon Express,,0,0,Beltsville,DC,4,0,0,0,0,0,n,(800) 296-9696,(240) 264-3234,#11448,,,"NOT FOR NFO, Michael Nalle 240 372 4423, Gordon Muir 240 264 1206",Gordon
287,Translogistix - Flash Global Logistics,,0,0,Beltsville,DC,3,0,0,0,0,0,n,(301) 495-0000,(301) 608-9072,,,,translogistix.com,Scott Foreman
288,Apollo Express Courier,,0,0,Falls Church,DC,3,0,0,0,0,0,n,(888) 460-9011,(703) 532-0977,,,,,Steve 
289,IAD Xpress,,0,0,Gainesville,DC,3,0,0,0,0,0,n,(888) 308-3831,(703) 665-2342,,,703-362-8627,good for long only,
290,"Runners, Inc.",,0,0,Gaithersburg,DC,4,0,0,0,0,0,n,(301) 948-7500,(301) 330-1451,#1919,tsmith@runnersinc.com,, no sta's,Thor
291,JNK - Atlantis,,0,0,Herndon,DC,3,0,0,0,0,0,n,(703) 945-7145,(888) 901-3434,,,,,
292,City Express Courier Service ,,0,0,Rockville ,DC,3,0,0,0,0,0,n,(240) 333-7324,(240) 333-7320,#70016,eric@citypl.com,,,
293,AA Courier Service,,0,0,Springdale,DC,3,0,0,0,0,0,n,(301) 386-5702,(301) 322-3238,,,,,Alan Andrews
294,American Expediting,,0,0,Washington,DC,1,0,1,0,0,0,n,(301) 322-8100,(301) 322-8700,,,,,Irwin
295,"Apple Courier, Inc.",,0,0,Washington,DC,3,0,0,0,0,0,n,(888) 620-3300,(202) 338-7600,#8298,,,applecouriersinc.com,Libby
296,Atlantis Logistics,,0,0,Washington,DC,5,0,0,0,0,0,n,(703) 467-0363,(703) 467-0374,,orderentry@atlantisusa.com,,,
297,Chesapeake Logistics,,0,0,Washington,DC,3,0,0,0,0,0,n,(301) 931-1771,(301) 937-6810,#1235,,,,Cynthia
298,Early Bird Delivery,,0,0,Washington,DC,3,0,0,0,0,0,n,(301) 989-0038,(301) 384-0679,,,301-257-6768,,David
299,IAD Express,,0,0,Washington,DC,4,0,0,1,0,0,n,(703) 362-8672,,,,,,
300,Lasership,,0,0,Washington,DC,3,0,0,0,0,0,n,(202) 347-7663,(202) 347-3410,#062993,,Shane: 703-761-9030,,Mika
301,Midnight Air Corp,,0,0,Washington,DC,4,0,0,1,0,0,n,(888) 888-8463,,,,,,
302,Timothy Thomas ,,0,0,Washington,DC,4,6308,0,1,0,0,n,(540) 272-2633,,,,,,
303,Trans Time Express,,0,0,Washington,DC,5,0,0,0,0,0,n,(202) 408-8877,,#B227,,,,
304,Transcom Express,,0,0,Washington,DC,3,0,0,0,0,0,n,(202) 789-0505,(703) 525-5206,,,,,
305,Urgent Courier,,0,0,Washington,DC,4,0,0,1,0,0,n,(888) 681-7864,,,urgent@never-late.com,,,
306,VMW,,0,0,Washington,DC,3,0,0,0,0,0,t,(866) 504-7575,,,,,,
307,Washington Courier,,0,0,Washington,DC,3,0,0,0,0,0,n,(800) 827-4500,(703) 518-8869,,,,,
308,Lisbon Logistics,,0,0,Washington ,DC,3,0,0,0,0,0,n,(281) 914-3696,,,,,16' straight,Peter
309,Owen Richardson ,,0,0,Delmar,DE,3,6224,0,0,0,0,n,(302) 569-0501,,,,,,
310,Bearwynn Taxi,,0,0,Dover,DE,3,0,0,0,0,0,n,(302) 670-7454,,,,,,
311,Mary Go Round,,0,0,Dover,DE,3,0,0,0,0,0,n,(302) 697-3250,,,MOUNTZ59@AOL.COM,302-382-3305,refuses everything,Mary
312,Preferred Transit,,0,0,Dover,DE,3,0,0,0,0,0,n,(302) 494-9425,,,support@preferredtransitde.com,,,
313,Xpert Xpress,,0,0,Federalsburg,DE,3,0,0,0,0,0,n,(410) 820-8650,(410) 754-0710,,,,,Katie
314,Gazzella Courier,,0,0,Newark,DE,3,0,0,0,0,0,n,(302) 266-9532,,,,c: 610-637-3929,,
315,Umrah Limo,,0,0,Newark,DE,3,0,0,0,0,0,n,(302) 401-4991,,,,,,
316,Don's Courier,,0,0,Parsonsburg,DE,3,0,0,0,0,0,n,(410) 860-9214,,,,c: 410-422-1821,"(seaford,DE)",
317,Labaik Tour,,0,0,Wilmington,DE,3,0,0,0,0,0,n,(410) 661-8686,,,,,,
318,Rapid Delivery Service,,0,0,Bradenton,FL,3,0,0,0,0,0,n,(941) 744-5800,,,RAPIDDELIVERYINC@AOL.COM,,,
319,Eagle Parcel Service,,0,0,Cape Coral,FL,3,0,0,0,0,0,"c,v",(239) 878-7841,(239) 458-4309,,bcochraneEPS@aol.com,,,Bill Cochrane
320,Angele's Express,,0,0,Clearwater,FL,3,0,0,0,0,0,n,(727) 461-2525,(727) 461-2521,#usa31,,,,
321,US Courier,,0,0,Clearwater,FL,5,0,0,0,0,0,n,(727) 584-2508,(727) 588-9664,,USCDELIVERY@AOL.COM,,$3-5,Barry-andy
322,Courier Solutions,,0,0,Dade,FL,3,0,0,0,0,0,n,(954) 792-7272,(954) 792-8755,,,,"10, East Coast Dade, Broward,Palm Beach - 5450 S State Rd 7, #34 Davie FL 33314",Steve Stroh
323,Kellys Courier,,0,0,Davenport,FL,3,0,0,0,0,0,n,(407) 927-2500,,,,,,
324,Angele's Express,,0,0,Daytona Beach,FL,3,0,0,0,0,0,n,(727) 461-2525,,#usa31,,,Good rates ,
325,Blue Streak Couriers,,0,0,Daytona Beach,FL,3,0,1,0,0,0,n,,,,,,,
326,County Wide transportation,,0,0,Daytona Beach,FL,3,0,0,0,0,0,n,(386) 453-6212,(386) 255-2730,,,,$25 min,Dave
327,Daytona Courier ,,0,0,Daytona Beach,Fl,3,0,0,0,0,0,n,(386) 255-6525,,,,,,
328,Roltime Express,,0,0,Daytona Beach,FL,3,0,0,0,0,0,n,(386) 677-4878,(888) 829-2273,,,,last resort,Rich
329,Volusia Process & Courier,,29.284527,-81.08831,Daytona Beach,FL,5,0,0,0,0,0,n,(386) 677-6565,,,,386-295-1628,,
330,American Expediting,,0,0,Fort Lauderdale,FL,3,0,1,0,0,0,n,(800) 525-3278,(305) 623-2845,,,,,
331,Barefoot,,0,0,Fort Lauderdale,FL,5,0,0,0,0,0,n,(954) 782-4360,(954) 782-8036,,,,,
332,Dave Foster,,0,0,Fort Lauderdale,FL,1,6139,0,0,0,0,n,(754) 244-3970,,,,,,
333,"Sunshine State Messenger Service, Inc.",,0,0,Fort Lauderdale,FL,2,0,0,0,0,0,n,(954) 975-8100,(954) 971-2693,#6465,,,,Susan
334,A Flat Rate,,0,0,Ft Myers,fl,2,0,0,0,0,0,n,(239) 992-8027,(239) 992-8027,,,800-741-6369,"$$$$, ",
335,American Expediting,,0,0,Ft Myers,FL,3,0,1,0,0,0,n,(305) 623-2844,(305) 623-2845,,,,,
336,Courier Connections ,,26.6852792,-81.8845664,Ft Myers,FL,5,0,0,0,0,0,n,(239) 997-0111,,,courierconnect@aol.com,,good rates ,Evette
337,CPR,,0,0,Ft Myers,FL,3,0,0,0,0,0,n,(239) 277-1014,(239) 936-5285,,,d: 239-470-4735,$$,
338,Eagle Parcel Service,,0,0,Ft Myers,FL,3,0,0,0,0,0,n,(239) 878-7841,,,,,,
339,Island Express,,0,0,Ft Myers,FL,3,0,1,0,0,0,n,(239) 693-0066,,#4271,,,,
340,Care Free Pickup & Delivery,,0,0,Ft Pierce,FL,3,0,0,0,0,0,n,(772) 708-4654,(772) 871-1996,,,office: 772-871-997,,
341,Ace Expediters,,0,0,Ft Walton,FL,3,0,0,0,0,0,n,(850) 244-2626,,,acecourierdelivers@gmail.com,,,
342,Absolute Courier,,0,0,Gainesville,FL,3,0,0,0,0,0,n,(352) 473-6481,(352) 473-5460,,,c: 352-672-7983,,Jamie
343,Confidential Courier,,0,0,Gainesville,FL,2,0,1,0,0,0,n,(352) 378-0999,(352) 378-1594,,,352-226-2843,$$$$$,Rob
344,We Go,,0,0,Gainesville,FL,3,0,0,0,0,0,n,(352) 872-9346,,,,h: 850-315-0511,,Carmen
345,Direct Express Service,,0,0,Gonzalez,FL,3,0,0,0,0,0,"c,t",(850) 937-8181,(850) 937-8188,,directexpressservice@cox.net,,,David
346,Gulf Coast Courier,,0,0,Gulf Breeze-Pensacola,FL,3,0,0,0,0,0,n,(850) 969-0901,(805) 969-0198,,,,no usad,Bobbi
347,Courier Solutions,,0,0,Hollywood ,FL,3,0,0,0,0,0,n,(954) 792-7275,(954) 792-8755,,,,,Steve Stroh
348,Ace Expediters,,0,0,Jacksonville,FL,3,0,0,0,0,0,n,(904) 723-0166,,,,,no on call,Ken Halbert
349,Bizzee Bee Courier,,0,0,Jacksonville,FL,3,0,0,0,0,0,n,(904) 396-5259,(904) 880-7172,,,,,Debbie
350,Blue Streak Couriers,,30.2592196,-81.5800595,Jacksonville,FL,4,0,1,0,0,0,n,(904) 448-8000,(904) 298-0380,,jbunker@bluestreakcouriers.com,,not good for airport or long,Harold B
351,Pettyco Express,,0,0,Jacksonville,FL,3,0,0,0,0,0,n,(904) 695-2200,(904) 693-0730,,,,,
352,Priority Courier,,0,0,Jacksonville,FL,4,0,0,0,0,0,n,(904) 346-3474,(904) 448-1873,,,Richard: 904-448-3154,"good rates for far, 5943 SW County Rd 751 Jasper 32052",Kim
353,Velox Express,,30.3502967,-81.6686964,Jacksonville,FL,4,0,0,0,0,0,n,(877) 835-6946,,,,,,
354,Martin McCollum,,0,0,Jasper,FL,4,6276,0,0,0,0,n,(386) 938-2433,,,jayken@windstream.net,,long,
355,Delivery for the Keys,,0,0,Key Largo,FL,3,0,0,0,0,0,n,(305) 942-8257,,,,,,Jim Horan
356,Look Limo,,0,0,Key West,FL,2,0,0,0,0,0,n,(305) 393-3593,,,,,$$$,Bob Albert
357,Kelly's Courier,,0,0,Lady Lake,FL,3,0,0,0,0,0,n,(407) 927-2500,,,,,,
358,Mid State Taxi,,0,0,Lady Lake,FL,3,0,0,0,0,0,n,(352) 748-2222,,,,,,
359,Here to There courier,,0,0,Lake Wales,FL,3,0,0,0,0,0,n,(863) 812-9440,(863) 682-2779,,,old: 863-370-8804,Lakeland,
360,Town Car Chauffer,,0,0,Longwood,FL,3,0,0,0,0,0,n,(407) 463-4809,,,,,north orlando,
361,American Expediting Company,,0,0,Melbourne ,FL,3,0,1,0,0,0,n,(407) 831-1908,(407) 831-1916,,,,,
362,Space Coast,,0,0,Melbourne ,FL,5,0,0,0,0,0,n,(321) 773-1700,,,,321-403-5067,,Mary 
363,Ace Expediters,,0,0,Miami,FL,3,0,0,0,0,0,n,(305) 255-4845,,,,,no on call,Ken Halbert
364,American Expediting Company,,0,0,Miami,FL,3,0,1,0,0,0,n,(305) 974-5965,(305) 888-0097,,,,,
365,Baron Messenger Service,,0,0,Miami,Fl,5,0,1,0,0,0,n,(800) 227-6648,(305) 688-4112,#3778,orders@barondelivers.com,,,Larry 
366,Esquire Express,,0,0,Miami,FL,3,0,0,0,0,0,n,(305) 530-9580,(302) 530-8414,,steve@esquireexpress.com,,8.00 min-1.50 mile,Steve
367,IBC Messenger,,0,0,Miami,FL,4,0,0,0,0,0,n,(305) 591-8900,(305) 592-7021,#2828,nfo@ibcmessenger.com,,,
368,Ace Expediters,,0,0,N. Ft. Meyers,FL,3,0,0,0,0,0,n,(239) 567-4711,,,,,no on call,Ken Halbert
369,American Expediting,,0,0,Naples,FL,3,0,1,0,0,0,n,(800) 288-0345,(412) 321-4574,,,,,
370,Courier Connection,,0,0,Naples,FL,3,0,0,0,0,0,n,(239) 997-0111,,,courierconnect@aol.com,,good rates,
371,CPR,,0,0,Naples,FL,3,0,0,0,0,0,n,(239) 277-1014,,,,,,
372,Don Kitchell,,0,0,North Port ,FL,3,0,0,0,0,0,n,c:9417162062,,,,,,
373,Solution Carrier,,0,0,Ocala,FL,3,0,0,0,0,0,n,(352) 572-6432,(352) 307-8477,,stagecoachtransport@hotmail.com,352-854-6642,,
374,Triple Crown Logistics,,0,0,Ocala,FL,3,0,0,0,0,0,n,(352) 208-1646,,,,,,
375,J&D Transportation,,0,0,Okeechobee,FL,3,0,0,0,0,0,n,(863) 801-9215,(863) 357-8294,,,,taxi,Debbie
376,American Expediting,,0,0,Orlando,FL,3,0,1,0,0,0,n,(407) 251-8948,(407) 831-1916,,,,,
377,Courier Express,,0,0,Orlando,FL,5,0,0,0,0,0,n,(407) 888-9505,(407) 888-8441,#1484,,,,Courtney
378,Eagle Express,,0,0,Orlando,FL,3,0,0,0,0,0,n,(407) 539-2244,,#1502,,,,
379,Ever-Green Express,,0,0,Orlando,FL,4,0,0,1,0,0,n,(407) 856-4150,(407) 856-1187,,ops@ever-greenexpress.com,,u: k.wiegman@usa p: Lau84T3R,
380,Highway Logistics,,0,0,Orlando,FL,3,0,0,0,0,0,n,(407) 268-1008,(407) 926-0453,,,,,
381,Quik Path - First Choice Messengers,,0,0,Orlando,FL,5,0,0,0,0,0,n,(407) 339-7284,(407) 339-8542,,,,check rates for long,Connie
382,American Expediting,,0,0,Palm Beach,FL,3,0,1,0,0,0,n,(305) 623-2844,(305) 623-2845,,,,,
383,Mr. Hustle,,0,0,Palm City,FL,3,0,0,0,0,0,n,(772) 220-7624,(772) 220-6032,,,,$45 hr-Stuart,Wanda
384,Blue Streak Couriers,,0,0,Panama City,FL,3,0,0,0,0,0,n,(904) 448-8000,,,,,,
385,Freedom Taxi,,0,0,Panama City,FL,3,0,0,0,0,0,n,(850) 339-7395,,,,,,
386,Northwest Logistics,,0,0,Panama City,FL,3,0,0,0,0,0,n,(850) 691-8643,,,,,,
387,Gulf Coast Courier & Expediting,,0,0,Pensacola,FL,3,0,0,0,0,0,n,(850) 969-0901,(850) 969-0198,,ops@gccourier.net,c: 850-485-1196,,John-Tony
388,"Hackbarth Delivery Service, Inc",,0,0,Pensacola,FL,3,0,0,0,0,0,n,(850) 476-5809,(850) 944-8835,,,,,
389,White Sands Delivery,,0,0,Pensacola,FL,3,0,0,0,0,0,n,(850) 944-8815,,,whitesands1987@cox.net,,,
390,Barefoot Mailmoms,,0,0,Pompano Beach,FL,5,0,0,0,0,0,n,(954) 782-4360,(954) 782-8036,,,,barefootdelivery.com,
391,Treasure Coast Cartage,,0,0,Port St Lucie,FL,3,0,0,0,0,0,n,(772) 475-4499,,,,,,
392,American Expediting,,0,0,Sarasota,FL,3,0,1,0,0,0,n,(800) 288-0345,(412) 321-4574,,,,,
393,Executive Express Courier,,0,0,Sarasota,FL,3,0,0,0,0,0,n,(941) 342-6577,,,,,,
394,Rapid Delivery,,0,0,Sarasota,FL,3,0,0,0,0,0,n,(941) 744-5800,,,,,,
395,Stat Courier,,0,0,Sarasota,FL,3,0,0,0,0,0,n,(941) 761-3435,,,,,,
396,Caravan Transportation,,0,0,Sebastian,FL,3,0,0,0,0,0,n,(772) 985-4830,(772) 388-6081,,,,good rates,
397,Dixi Courier,,0,0,Sebring,FL,3,0,0,0,0,0,n,(863) 269-8743,,,,,,Tom Riley
398,Hank Taxi,,0,0,Spring Hill,FL,3,0,0,0,0,0,n,(352) 678-7400,(352) 600-7538,,,,,
399,Sherry Hontz,,0,0,St Augustine,FL,3,0,0,0,0,0,n,(904) 669-5081,,,,,,sherry
400,St Johns Courier,,0,0,St Augustine,FL,3,0,0,0,0,0,n,(904) 461-6800,,,,,,
401,Interstate Express,,0,0,Stuart,FL,5,0,0,0,0,0,n,(772) 287-2137,(772) 223-9121,,,800-749-2137,,Melanie
402,Venture Courier,,0,0,Stuart,FL,3,0,0,0,0,0,n,(561) 842-3536,(561) 863-8445,,,,,
403,Corporate Acces,,0,0,Tallahassee,FL,3,0,0,0,0,0,n,(850) 222-2666,(850) 222-1666,,,,,
404,Dickson Courier,,0,0,Tallahassee,FL,3,0,0,0,0,0,t,(850) 766-0980,,,,,,
405,Stealth Courier,,30.4861538,-84.2275914,Tallahassee,FL,4,0,0,0,0,0,n,(850) 294-5632,(850) 270-6696,,stealthcourier@live.com,,,
406,Yellow Cab,,0,0,Tallahassee,FL,3,0,0,0,0,0,n,(850) 580-8080,,,,,,
407,American Courier Express,,0,0,Tampa,FL,5,0,0,0,0,0,n,(813) 249-9700,(813) 901-9518,,info@americancourierexpress.com,"a: 813-785-7570, o: 813-365-0121 (Jim)",,Rene
408,American Expediting,,0,0,Tampa,FL,3,0,1,0,0,0,n,(813) 866-8570,(813) 886-8418,,,,,
409,Road Runner Courier,,0,0,Tampa,FL,3,0,0,0,0,0,n,(800) 771-0080,(813) 882-3866,,,,,Jeff
410,Speedway Courier,,0,0,Tampa,FL,3,0,0,0,0,0,n,(888) 887-3747,(800) 882-0063,#890366,,,,John
411,US Delivery,,0,0,Tampa,FL,3,0,0,0,0,0,n,(813) 409-3187,(813) 409-3269,,,,,Frank
412,Run about,,0,0,Titusville,FL,3,0,0,0,0,0,n,(888) 267-4559,(321) 617-9023,,orders@runaboutcourier.com,,,
413,Executive Express Courier,,0,0,Venice,FL,3,0,0,0,0,0,n,(941) 484-6577,,,,,,
414,ACS,,0,0,Vero Beach,FL,5,0,0,0,0,0,n,(772) 388-3515,(772) 770-0607,,clsacs@comcast.net,772-567-1944,,
